SNo,Season,Episode,DateAired,Title,Director,Writers,Viewers,IMDB_Rating,Votes
1,1,1,19-Sep-05,Pilot,Pamela Fryman,"Carter Bays,Craig Thomas",10.94,8.5,4935
2,1,2,26-Sep-05,Purple Giraffe,Pamela Fryman,"Carter Bays,Craig Thomas",10.4,8.2,3708
3,1,3,3-Oct-05,Sweet Taste of Liberty,Pamela Fryman,"Phil Lord,Chris Miller",10.44,8.2,3514
4,1,4,10-Oct-05,Return of the Shirt,Pamela Fryman,Kourtney Kang,9.84,8,3298
5,1,5,17-Oct-05,Okay Awesome,Pamela Fryman,Chris Harris,10.14,8.3,3412
6,1,6,24-Oct-05,Slutty Pumpkin,Pamela Fryman,Brenda Hsueh,10.89,8.1,3292
7,1,7,7-Nov-05,Matchmaker,Pamela Fryman,"Sam Johnson,Chris Marcil",10.55,7.7,3095
8,1,8,14-Nov-05,The Duel,Pamela Fryman,Gloria Calderon Kellett,10.35,8.2,3057
9,1,9,21-Nov-05,Belly Full of Turkey,Pamela Fryman,"Phil Lord,Chris Miller",10.29,8.1,3070
10,1,10,28-Nov-05,The Pineapple Incident,Pamela Fryman,"Carter Bays,Craig Thomas",12.27,9.2,4667
11,1,11,19-Dec-05,The Limo,Pamela Fryman,"Sam Johnson,Chris Marcil",,8.3,3190
12,1,12,9-Jan-06,The Wedding,Pamela Fryman,Kourtney Kang,11.49,8.1,2988
13,1,13,23-Jan-06,"Drumroll, Please",Pamela Fryman,Gloria Calderon Kellett,10.82,8.7,3384
14,1,14,6-Feb-06,"Zip, Zip, Zip",Pamela Fryman,Brenda Hsueh,10.94,8.2,2906
15,1,15,27-Feb-06,Game Night,Pamela Fryman,Chris Harris,9.82,9.1,3780
16,1,16,6-Mar-06,Cupcake,Pamela Fryman,Maria Ferrari,10.15,7.9,2806
17,1,17,20-Mar-06,Life Among the Gorillas,Pamela Fryman,"Carter Bays,Craig Thomas",9.8,7.7,2793
18,1,18,10-Apr-06,Nothing Good Happens After 2 A.M.,Pamela Fryman,"Carter Bays,Craig Thomas",7.65,8.5,3066
19,1,19,24-Apr-06,Mary the Paralegal,Pamela Fryman,Chris Harris,7.6,8.8,3337
20,1,20,1-May-06,Best Prom Ever,Pamela Fryman,Ira Ungerleider,7.24,7.9,2790
21,1,21,8-May-06,Milk,Pamela Fryman,"Carter Bays,Craig Thomas",8.07,8.1,2794
22,1,22,15-May-06,Come On,Pamela Fryman,"Carter Bays,Craig Thomas",8.64,8.9,3455
23,2,1,18-Sep-06,Where Were We?,Pamela Fryman,"Carter Bays,Craig Thomas",10.48,8.2,2788
24,2,2,25-Sep-06,The Scorpion and the Toad,Rob Greenberg,Chris Harris,9.14,8.2,2725
25,2,3,2-Oct-06,Brunch,Pamela Fryman,Stephen Lloyd,9.32,8.5,2833
26,2,4,9-Oct-06,Ted Mosby: Architect,Pamela Fryman,Kristen Newman,9.09,8.8,3213
